word,class
abnormal*,adjective
academic,adjective
active,adjective
additional,adjective
affordable,adjective
afraid,adjective
after,adjective
aggressive,adjective
agreeable,adjective
alike,adjective
alive,adjective
alone,adjective
amazing,adjective
ambitious,adjective
ancient,adjective
angrier,adjective
angriest,adjective
angry,adjective
annoying,adjective
antisocial,adjective
anxious,adjective
apparent,adjective
approachable,adjective
appropriate,adjective
artistic,adjective
artsy,adjective
as,adjective
asleep,adjective
assertive,adjective
athletic,adjective
attainable,adjective
attractive,adjective
average,adjective
awesome,adjective
awesomer,adjective
awesomest,adjective
awful,adjective
awfulest,adjective
basic,adjective
beautiful,adjective
before,adjective
best,adjective
bestest,adjective
better,adjective
big,adjective
bigger,adjective
biggest,adjective
easy*,adjective
educational,adjective
either,adjective
emotional,adjective
emptier,adjective
emptiest,adjective
empty,adjective
endless,adjective
envious,adjective
equal*,adjective
equival*,adjective
erectile,adjective
essential,adjective
eventual,adjective
evil,adjective
excited,adjective
exciting,adjective
extra,adjective
extreme,adjective
fabulous,adjective
fair,adjective
fairer,adjective
fairest,adjective
fake,adjective
familiar,adjective
fantastic,adjective
fantastical,adjective
far,adjective
farsighted,adjective
farther,adjective
farthest,adjective
ffaster,adjective
fastest,adjective
fat,adjective
fatter,adjective
fattest,adjective
fattier,adjective
fattiest,adjective
fav,adjective
fave,adjective
favorite,adjective
feasible,adjective
female,adjective
feminine,adjective
few,adjective
fewer,adjective
fewest,adjective
hungrier,adjective
hungriest,adjective
identical,adjective
impossible,adjective
incredible,adjective
inexpensive,adjective
inferior,adjective
influential,adjective
infrequent,adjective
insane,adjective
insignificant,adjective
ironic,adjective
lamer,adjective
lamest,adjective
large,adjective
larger,adjective
largest,adjective
late,adjective
later,adjective
latest,adjective
lazier,adjective
laziest,adjective
least,adjective
legit,adjective
less,adjective
lighter,adjective
lightest,adjective
lil,adjective
littler,adjective
littlest,adjective
lonelier,adjective
loneliest,adjective
longer,adjective
longest,adjective
loose,adjective
looser,adjective
loosest,adjective
louder,adjective
loudest,adjective
lovelier,adjective
loveliest,adjective
lower,adjective
lowest,adjective
loyal,adjective
luckier,adjective
luckiest,adjective
lucky,adjective
prouder,adjective
proudest,adjective
proximal,adjective
prudish,adjective
pubic,adjective
purer,adjective
purest,adjective
pushier,adjective
pushiest,adjective
quicker,adjective
quickest,adjective
quiet,adjective
quieter,adjective
quietest,adjective
rabbinical,adjective
random,adjective
rapid,adjective
rare,adjective
rarer,adjective
rarest,adjective
raw,adjective
recent*,adjective
red,adjective
regular,adjective
relevant,adjective
respectful,adjective
respective,adjective
rich,adjective
richer,adjective
richest,adjective
rigid,adjective
rotten,adjective
rough,adjective
rougher,adjective
roughest,adjective
round,adjective
rounder,adjective
roundest,adjective
royal,adjective
rude,adjective
sacred,adjective
sad,adjective
sadder,adjective
saddest,adjective
safe,adjective
safer,adjective
safest,adjective
supportive,adjective
surprised*,adjective
sweet,adjective
sweeter,adjective
sweetest,adjective
swollen,adjective
talkative,adjective
tall,adjective
taller,adjective
tallest,adjective
tart,adjective
tastier,adjective
tastiest,adjective
tasty,adjective
tedious,adjective
tender,adjective
terrible,adjective
terrific,adjective
terrified,adjective
terrifying,adjective
than,adjective
thankful,adjective
thin,adjective
thinner,adjective
thinnest,adjective
thirsty,adjective
thriftier,adjective
thriftiest,adjective
thrifty,adjective
tight,adjective
tighter,adjective
tightest,adjective
tinier,adjective
tiniest,adjective
tiny,adjective
tired,adjective
tiring,adjective
top,adjective
tough,adjective
tougher,adjective
toughest,adjective
tragic,adjective
tribal,adjective
trickier,adjective
trickiest,adjective
tricky,adjective
trite,adjective
after,compare
alike,compare
angrier,compare
angriest,compare
as,compare
awesomer,compare
awesomest,compare
awfulest,compare
before,compare
best,compare
better,compare
bigger,compare
biggest,compare
bolder,compare
boldest,compare
bottom,compare
braver,compare
bravest,compare
brighter,compare
brightest,compare
broader,compare
broadest,compare
busier,compare
busiest,compare
calmer,compare
calmest,compare
cheaper,compare
cheapest,compare
cleaner,compare
cleanest,compare
closer,compare
cllosest,compare
colder,compare
coldest,compare
compar*,compare
cooler,compare
coolest,compare
crazier,compare
craziest,compare
creepier,compare
creepiest,compare
crueler,compare
cruelest,compare
cuter,compare
cutest,compare
danker,compare
dankest,compare
lower,compare
lowest,compare
luckier,compare
luckiest,compare
madder,compare
maddest,compare
meaner,compare
meanest,compare
messier,compare
messiest,compare
middle,compare
milder,compare
mildest,compare
mo,compare
mo',compare
more,compare
most,compare
narrower,compare
narrowest,compare
nearer,compare
nearest,compare
neater,compare
neatest,compare
neither,compare
newer,compare
newest,compare
nicer,compare
nicest,compare
noisier,compare
noisiest,compare
odder,compare
oddddest,compare
older,compare
oldest,compare
particular,compare
pettier,compare
pettiest,compare
plainer,compare
plainest,compare
poorer,compare
poorest,compare
prettier,compare
prettiest,compare
prouder,compare
proudest,compare
purer,compare
purest,compare
wisest,compare
wittier,compare
wittiest,compare
worse,compare
worst,compare
younger,compare
youngest,compare
how,interrogation
hhooww'dd,interrogation
how're,interrogation
how's,interrogation
howd,interrogation
howre,interrogation
hows,interrogation
wat,interrogation
wat*,interrogation
what,interrogation
what'd,interrogation
what'll,interrogation
what're,interrogation
what's,interrogation
whatd,interrogation
whatever,interrogation
whatll,interrogation
whatre,interrogation
what*,interrogation
when,interrogation
when'*,interrogation
whence,interrogation
whenever,interrogation
where,interrogation
where'd,interrogation
where's,interrogation
wherefore,interrogation
wherever,interrogation
whether,interrogation
which,interrogation
whichever,interrogation
whiter,interrogation
who,interrogation
who'd,interrogation
who'll,interrogation
who's,interrogation
whoever,interrogation
wholl,interrogation
whom,interrogation
whomever,interrogation
whos,interrogation
whose,interrogation
whosever,interrogation
whoso*,interrogation
why,interrogation
why'*,interrogation
whyever,interrogation
billion*,number
doubl*,number
dozen*,number
eight*,number
eleven,number
fift*,number
first,number
firstly,number
firsts,number
five,number
four*,number
half,number
hundred*,number
infinit*,number
million*,number
nine*,number
once,number
one,number
quarter*,number
second,number
seven*,number
single,number
six*,number
ten,number
tenth,number
third,number
thirt*,number
thousand*,number
three,number
trillion*,number
twel*,number
twent**,number
twice,number
two,number
zero,number
zillion*,number
add,quant
added,quant
adding,quant
adds,quant
all,quant
allot,quant
alot,quant
amount,quant
amounts,quant
another,quant
any,quant
approximat*,quant
average,quant
bit,quant
bits,quant
both,quant
bunch,quant
chapter,quant
couple,quant
doubl*,quant
each,quant
either,quant
entire*,quant
equal*,quant
every,quant
extra,quant
few,quant
fewer,quant
fewest,quant
group*,quant
inequal*,quant
lleast,quant
less,quant
lot,quant
lotof,quant
lots,quant
lotsa,quant
lotta,quant
majority,quant
many,quant
mo,quant
mo',quant
more,quant
most,quant
much,quant
mucho,quant
multiple,quant
(:,affect
):,affect
:(,affect
:),affect
abandon*,affect
abuse*,affect
abusi*,affect
accept,affect
accepta*,affect
accepted,affect
accepting,affect
accepts,affect
ache*,affect
aching*,affect
active,affect
actively,affect
admir*,affect
ador*,affect
advantag*,affect
adventur*,affect
advers*,affect
affection*,affect
afraid,affect
aggravat*,affect
aggress,affect
aggressedd,affect
aggresses,affect
aggressing,affect
aggression*,affect
aggressive,affect
aggressively,affect
aggressor**,affect
agitat*,affect
agoniz*,affect
agony,affect
agree,affect
agreeable,affect
agreeableness,affect
agreeably,affect
agreed,affect
agreeing,affect
agreement*,affect
agrees,affect
alarm*,affect
alone,affect
alright*,affect
amaze*,affect
challeng*,affect
champ*,affect
charit*,affect
charm*,affect
cheat*,affect
cheer,affect
cheerful,affect
cheers,affect
cheery,affect
cherish*,affect
chuckl*,affect
clever,affect
coldly,affect
comed*,affect
comfort,affect
comfortable,affect
comfortably,affect
comforting,affect
comforts,affect
compassion*,affect
complain*,affect
compliment*,affect
concerned,affect
condemn*,affect
confidence,affect
confident,affect
confidently,affect
confront*,affect
confuse,affect
confused,affect
confusedly,affect
confusing,affect
considerate,affect
contempt*,affect
contented*,affect
contentment,affect
contradic*,affect
cool,affect
courag*,affect
crap,affect
crappy,affect
crazier,affect
craziest,affect
crazy,affect
create,affect
created,affect
creates,affect
disturb*,affect
divin*,affect
domina*,affect
doom*,affect
dork*,affect
doubt*,affect
dread*,affect
dull,affect
dumb,affect
dumbass*,affect
dumber,affect
dumbest,affect
dummy,affect
dump*,affect
dwell*,affect
eager,affect
eagerly,affect
eagerness,affect
ease*,affect
easier,affect
easiest,affect
easily,affect
easiness,affect
easing,affect
easy*,affect
ecsta*,affect
egotis*,affect
elegan*,affect
embarrass*,affect
emotion,affect
emotional,affect
emotions,affect
emptier,affect
emptiest,affect
emptiness,affect
empty,affect
encourag*,affect
enemie*,affect
enemy*,affect
energ*,affect
engag*,affect
enjoy*,affect
enrag*,affect
entertain*,affect
enthus*,affect
envie*,affect
envious,affect
fuckwad*,affect
ffuummee*,affect
fuming,affect
fun,affect
funner,affect
funnest,affect
funnier,affect
funnies,affect
funniest,affect
funnily,affect
funniness,affect
funny,affect
furious*,affect
fury,affect
geek*,affect
genero*,affect
gentle,affect
gentler,affect
gentlest,affect
gently,affect
giggl*,affect
giver*,affect
giving,affect
glad,affect
gladly,affect
gllamor**,affect
glamour*,affect
gloom,affect
gloomier,affect
gloomiest,affect
gloomily,affect
gloominess,affect
gloomy,affect
glori*,affect
glory,affect
goddam*,affect
good,affect
good-for-nothing,affect
goodness,affect
gorgeous,affect
gorgeously,affect
gorgeousness,affect
gossip*,affect
grace,affect
graced,affect
graceful*,affect
graces,affect
hopefully,affect
hhooppeelleessss*,affect
hopes,affect
hoping,affect
horrible,affect
horribly,affect
horrid*,affect
horror*,affect
hostil*,affect
hug,affect
hugg*,affect
hugs,affect
humiliat*,affect
humor*,affect
humour*,affect
hungover,affect
hurra*,affect
hurt*,affect
ideal*,affect
idiot*,affect
ignorable,affect
ignoramus,affect
ignorant,affect
ignore,affect
ignored,affect
ignores,affect
ignoring,affect
ily*,affect
immoral*,affect
impatien*,affect
impersonal,affect
impolite*,affect
importance,affect
important,affect
importantly,affect
impress*,affect
improve*,affect
improving,affect
inadequa*,affect
incentive*,affect
incompeten*,affect
indecis*,affect
ineffect*,affect
inferior,affect
inferiority,affect
inhibit*,affect
innocen*,affect
lowers,affect
lowest,affect
lowli*,affect
lowly,affect
loyal,affect
loyalt*,affect
luck,affect
lucked,affect
luckier,affect
luckiest,affect
luckily,affect
luckless*,affect
lucky,affect
ludicrous*,affect
luv,affect
lying,affect
mad,affect
maddening*,affect
madder,affect
maddest,affect
magnific*,affect
maniac*,affect
masochis*,affect
meaner,affect
meanest,affect
mellanchho ll**,affect
merit*,affect
merr*,affect
mess,affect
messier,affect
messiest,affect
messy,affect
miser*,affect
miss,affect
missed,affect
misses,affect
missing,affect
mistak*,affect
mock,affect
mocked,affect
mocker*,affect
mocking,affect
mocks,affect
molest*,affect
mooch*,affect
mood,affect
moodi*,affect
please*,affect
pleasing,affect
pleasur*,affect
poison*,affect
polite,affect
politely,affect
poor,affect
poorer,affect
poorest,affect
poorly,affect
poorness*,affect
popular,affect
populari*,affect
positive,affect
positively,affect
positives,affect
positivi*,affect
powerless*,affect
prais*,affect
precious*,affect
prejudic*,affect
pressur*,affect
prettier,affect
prettiest,affect
pretty,affect
prick*,affect
pride,affect
privileg*,affect
prize*,affect
problem*,affect
profit*,affect
promise*,affect
promising,affect
protest,affect
protested,affect
protesting,affect
protests,affect
proud,affect
prouder,affect
proudest,affect
proudly,affect
puk*,affect
punish*,affect
pushy,affect
queas*,affect
radian*,affect
rage*,affect
sinister,affect
sins,affect
skeptic*,affect
slut*,affect
smart,affect
smarter,affect
smartest,affect
smartly,affect
smh,affect
smil*,affect
smother*,affect
smug*,affect
snob*,affect
sob,affect
sobbed,affect
sobbing,affect
sobs,affect
sociability,affect
sociable,affect
solemn*,affect
sorrow*,affect
sorry,affect
soulmate*,affect
special,affect
spite*,affect
splendid,affect
splendidly,affect
splendor,affect
stale,affect
stammer*,affect
stank*,affect
startll**,affect
steal*,affect
stench*,affect
stink,affect
stinky,affect
strain*,affect
strange,affect
strangest,affect
strength*,affect
stress*,affect
strong,affect
stronger,affect
strongest,affect
strongly,affect
struggl*,affect
stubborn*,affect
triumph*,affect
trivial,affect
troubl*,affect
TRUE,affect
truer,affect
truest,affect
truly,affect
trust,affect
trusted,affect
trusting,affect
trusts,affect
trustworthiness,affect
trustworthy,affect
trusty,affect
truth*,affect
turmoil,affect
twitchy,affect
ty,affect
ugh,affect
uglier,affect
ugliest,affect
ugly,affect
unaccept*,affect
unattractive,affect
uncertain*,affect
uncomfortabl*,affect
uncontrol*,affect
undesir*,affect
uneas*,affect
unfair,affect
unfortunate*,affect
unfriendly,affect
ungrateful*,affect
unhapp*,affect
unimportant,affect
unimpress*,affect
unkind,affect
unlov*,affect
unlucky,affect
unpleasant,affect
unprotected,affect
unsafe,affect
unsavory,affect
unsettl*,affect
unsuccessful*,affect
unsure*,affect
unwelcom*,affect
worsens,affect
worship*,affect
worst,affect
worthless,affect
worthwhile,affect
wow*,affect
wrong,affect
wrongdoing,affect
wronged,affect
wrongful,affect
wrongly,affect
wrongness,affect
wrongs,affect
yay*,affect
yearn*,affect
yell,affect
yelled,affect
yelling,affect
yells,affect
yuck,affect
yum,affect
yummy,affect
(:,positive
:),positive
accept,positive
accepta*,positive
accepted,positive
accepting,positive
accepts,positive
active,positive
actively,positive
admir*,positive
ador*,positive
advantag*,positive
adventur*,positive
affection*,positive
agree,positive
agreeable,positive
agreeableness,positive
agreeably,positive
agreed,positive
agreeing,positive
agreement*,positive
agrees,positive
alright*,positive
amaze*,positive
amazing,positive
amizingly,positive
amor*,positive
amus*,positive
aok,positive
appreciat*,positive
approv*,positive
assur**,positive
attract,positive
attracted,positive
attracting,positive
attraction,positive
attracts,positive
award*,positive
awesome,positive
beautiful,positive
beautify,positive
beauty,positive
beloved,positive
benefic*,positive
benefit,positive
benefits,positive
benefitt*,positive
entertain*,positive
eenntthhuuss*,positive
excel,positive
excelled,positive
excellence,positive
excellent,positive
excellently,positive
excelling,positive
excels,positive
excite,positive
excited,positive
excitedly,positive
excitement,positive
exciting,positive
fab,positive
fabulous,positive
fabulously,positive
fabulousness,positive
fair,positive
fairer,positive
fairest,positive
faith*,positive
fantasi*,positive
fantastic,positive
fantastical,positive
fantastically,positive
fantasy,positive
fav,positive
fave,positive
favor,positive
favoring,positive
favorite,positive
favors,positive
favour*,positive
fearless*,positive
festiv*,positive
fiesta*,positive
fine,positive
finer,positive
finest,positive
flatter*,positive
flawless*,positive
flexib*,positive
flirt,positive
flirtatious,positive
flirting,positive
flirts,positive
great,positive
hugs,positive
hhuummoorr*,positive
humour*,positive
hurra*,positive
ideal*,positive
ily*,positive
importance,positive
important,positive
importantly,positive
impress*,positive
improve*,positive
improving,positive
incentive*,positive
innocen*,positive
inspir*,positive
intellect*,positive
intelligence,positive
intelligent,positive
interest,positive
interested,positive
interesting,positive
interests,positive
invigor*,positive
joke*,positive
joking,positive
jj olllly,positive
joy*,positive
keen*,positive
kidding,positive
kind,positive
kindly,positive
kind*,positive
kiss*,positive
laidback,positive
laugh*,positive
legit,positive
libert*,positive
to like,positive
(i) like*,positive
(you) like*,positive
(we) like*,positive
(they) like*,positive
(do) like,positive
(don't) like,positive
(did) like,positive
(didn't) like,positive
(will) like,positive
promising,positive
proud,positive
prouder,positive
proudest,positive
proudly,positive
radian*,positive
readiness,positive
ready,positive
reassur*,positive
reinvigor*,positive
rejoice*,positive
relax*,positive
relief,positive
reliev*,positive
resolv*,positive
respect,positive
respected,positive
respectful,positive
respectfully,positive
respecting,positive
reward*,positive
rich,positive
richer,positive
riches,positive
richest,positive
rofl*,positive
romanc*,positive
romantic*,positive
safe,positive
safely,positive
safer,positive
saffest,positive
safety,positive
satisf*,positive
save,positive
scrumptious*,positive
secur*,positive
sentimental*,positive
sexy,positive
share,positive
shared,positive
shares,positive
sharing,positive
sillier,positive
silliest,positive
silly,positive
sincer*,positive
wealthy,positive
welcom*,positive
well,positive
wellbeing,positive
wellness,positive
win,positive
winn*,positive
wins,positive
wisdom,positive
wise,positive
wisely,positive
wiser,positive
wisest,positive
won,positive
wonderful,positive
wonderfully,positive
worship*,positive
worthwhile,positive
wow*,positive
yay*,positive
yum,positive
yummy,positive
):,negative
:(,negative
abandon*,negative
abuse*,negative
abusi*,negative
ache*,negative
aching*,negative
advers*,negative
afraid,negative
aggravat*,negative
aggress,negative
aggressed,negative
aggresses,negative
aggressing,negative
aggression*,negative
aggressive,negative
aggressively,negative
aggressor*,negative
agitat*,negative
agoniz*,negative
agony,negative
alarm*,negative
alone,negative
anger*,negative
angrier,negative
angriest,negative
angry,negative
anguish*,negative
annoy,negative
annoyed,negative
annoying,negative
annoys,negative
antagoni*,negative
anxiety,negative
anxious,negative
anxiously,negative
anxiousness,negative
apath*,negative
appall*,negative
apprehens*,negative
argh*,negative
argu*,negative
arrogan*,negative
asham*,negative
assault*,negative
asshole*,negative
disliking,negative
dismay*,negative
disreput*,negative
diss,negative
dissatisf*,negative
distraught,negative
distress*,negative
distrust*,negative
disturb*,negative
domina*,negative
doom*,negative
dork*,negative
doubt*,negative
dread*,negative
dull,negative
dumb,negative
dumbass*,negative
dumber,negative
dumbest,negative
dummy,negative
dump*,negative
dwell*,negative
egotis*,negative
embarrass*,negative
emotional,negative
emptier,negative
emptiest,negative
emptiness,negative
empty,negative
enemie*,negative
enemy*,negative
enrag**,negative
envie*,negative
envious,negative
envy*,negative
evil,negative
excruciat*,negative
exhaust*,negative
fail*,negative
fake,negative
fatal*,negative
fatigu*,negative
fault*,negative
fear,negative
feared,negative
fearful*,negative
ignoramus,negative
ignorant,negative
ignore,negative
ignored,negative
ignores,negative
ignoring,negative
immoral*,negative
impatien*,negative
impersonal,negative
impolite*,negative
inadequa*,negative
incompeten*,negative
indecis*,negative
ineffect*,negative
inferior,negative
inferiority,negative
inhibit*,negative
insecur*,negative
insincer*,negative
insult*,negative
interrup*,negative
intimidat*,negative
irrational*,negative
irrita*,negative
isolat*,negative
jjaddedd,negative
jealous,negative
jealousies,negative
jealously,negative
jealousy,negative
jerk,negative
jjerkkedd,negative
jerks,negative
kill*,negative
lame,negative
lamely,negative
lameness,negative
lamer,negative
lamest,negative
lazier,negative
laziest,negative
lazy,negative
liabilit*,negative
liar*,negative
lied,negative
lies,negative
poorer,negative
poorest,negative
poorly,negative
poorness*,negative
powerless*,negative
prejudic*,negative
pressur*,negative
prick*,negative
problem*,negative
protest,negative
protested,negative
protesting,negative
protests,negative
puk*,negative
punish*,negative
pushy,negative
queas*,negative
rage*,negative
raging,negative
rancid*,negative
rape*,negative
raping,negative
rapist*,negative
rebel*,negative
reek*,negative
regrett**,negative
reject*,negative
reluctan*,negative
remorse*,negative
repress*,negative
resent*,negative
resign*,negative
restless*,negative
revenge*,negative
ridicul*,negative
rigid,negative
rigidity,negative
rigidly,negative
risk*,negative
rotten,negative
rude,negative
rudely,negative
ruin*,negative
sad,negative
sadder,negative
saddest,negative
tragic,negative
tragically,negative
trauma*,negative
trembl*,negative
trick,negative
tricked,negative
trickier,negative
trickiest,negative
tricks,negative
tricky,negative
trite,negative
trivial,negative
troubl*,negative
turmoil,negative
twitchy,negative
ugh,negative
uglier,negative
ugliest,negative
ugly,negative
unaccept*,negative
unattractive,negative
uncertain*,negative
uncomfortabl*,negative
uncontrol*,negative
undesir*,negative
uneas**,negative
unfair,negative
unfortunate*,negative
unfriendly,negative
ungrateful*,negative
unhapp*,negative
unimportant,negative
unimpress*,negative
unkind,negative
unlov*,negative
unlucky,negative
unpleasant,negative
unprotected,negative
unsafe,negative
unsavory,negative
unsettl*,negative
unsuccessful*,negative
unsure*,negative
unwelcom*,negative
upset,negative
upsets,negative
afraid,anxiety
alarm*,anxiety
anxiety,anxiety
anxious,anxiety
anxiously,anxiety
anxiousness,anxiety
apprehens*,anxiety
asham*,anxiety
aversi*,anxiety
avoid*,anxiety
awkward,anxiety
confuse,anxiety
confused,anxiety
confusedly,anxiety
confusing,anxiety
desperat*,anxiety
discomfort*,anxiety
distraught,anxiety
distress*,anxiety
disturb*,anxiety
doubt*,anxiety
dread*,anxiety
dwell*,anxiety
embarrass*,anxiety
fear,anxiety
ffearedd,anxiety
fearful*,anxiety
fearing,anxiety
fears,anxiety
frantic*,anxiety
fright*,anxiety
guilt,anxiety
guilt-trip*,anxiety
guilty,anxiety
hesita*,anxiety
horrible,anxiety
horribly,anxiety
horrid*,anxiety
horror*,anxiety
humiliat*,anxiety
impatien*,anxiety
inadequa*,anxiety
indecis*,anxiety
inhibit*,anxiety
insecur*,anxiety
irrational*,anxiety
abuse*,anxiety
abusi*,anxiety
aggravat*,anxiety
aggress,anxiety
aggressed,anxiety
aggresses,anxiety
aggressing,anxiety
aggression*,anxiety
aggressive,anxiety
aggressively,anxiety
aggressor*,anxiety
agitat*,anxiety
anger*,anxiety
angrier,anxiety
angriest,anxiety
angry,anxiety
annoy,anxiety
annoyed,anxiety
annoying,anxiety
annoys,anxiety
antagoni*,anxiety
argh*,anxiety
argu*,anxiety
assault*,anxiety
asshole*,anxiety
attttackk**,anxiety
bastard*,anxiety
battl*,anxiety
beaten,anxiety
bitch*,anxiety
bitter,anxiety
bitterly,anxiety
bitterness,anxiety
blam*,anxiety
bother*,anxiety
brutal*,anxiety
cheat*,anxiety
confront*,anxiety
contempt*,anxiety
contradic*,anxiety
crap,anxiety
crappy,anxiety
critical,anxiety
critici*,anxiety
cruel,anxiety
crueler,anxiety
poison*,anger
prejudic*,anger
prick*,anger
protest,anger
protested,anger
protesting,anger
protests,anger
punish*,anger
pushy,anger
rage*,anger
raging,anger
rape*,anger
raping,anger
rapist*,anger
rebel*,anger
resent*,anger
revenge*,anger
ridicul*,anger
rude,anger
rudely,anger
sarcas*,anger
savage*,anger
sceptic*,anger
screw*,anger
shit*,anger
sinister,anger
smother*,anger
snob*,anger
spite*,anger
stubborn*,anger
stupid,anger
stupider,anger
stupidest,anger
stupidity,anger
stupidly,anger
suck,anger
sucked,anger
sucker*,anger
sucks,anger
sucky,anger
tantrum*,anger
teas*,anger
temper,anger
tempers,anger
threat*,anger
tortur*,anger
accomplice*,social
acquantain*,social
admit,social
admits,social
admitted,social
admitting,social
adult,social
adults,social
advice,social
advis*,social
affair*,social
ally,social
amigo*,social
anonymous*,social
anybod*,social
anyone*,social
apolog*,social
approachable,social
argu*,social
armies,social
army,social
ask,social
asked,social
asking,social
asks,social
assembl*,social
aunt*,social
awkward,social
awkwardness,social
babe*,social
babies,social
baby,social
bachelor,social
bachelor'*,social
bachelorette,social
bachelors,social
bae,social
band,social
bands,social
banter*,social
bb,social
bby,social
bcc,social
beau,social
beloved,social
bestfriend*,social
divorc*,social
dduucchheessss*,social
dude*,social
duke*,social
e-mail,social
e-mailed,social
e-mailing,social
e-mails,social
email,social
emailed,social
emailing,social
emails,social
embarrass*,social
encourag*,social
enemie*,social
enemy*,social
engag*,social
everybod*,social
everyone*,social
everything*,social
ex,social
ex-bf*,social
ex-boyfriend*,social
ex-gf*,social
ex-girlfriend*,social
exbf*,social
exboy*,social
excus*,social
exes,social
exgf*,social
exgirl*,social
exhusb*,social
explain,social
explained,social
explaining,social
explains,social
express*,social
exwife*,social
exwive*,social
facebook,social
fam,social
families,social
family,social
farewell,social
father*,social
fb,social
helping,social
helps,social
her,social
heroine*,social
hers,social
herself,social
hes,social
hey,social
hi,social
him,social
himself,social
hipster,social
his,social
hissel*,social
homie,social
honey,social
honeymoon*,social
hostil*,social
hottie,social
househusband*,social
housewi*,social
hubby,social
hug,social
human*,social
husband*,social
impersonal,social
impolite*,social
impress*,social
in-law*,social
individual*,social
infant,social
infant's,social
